id;parentesco;correo_electronico;nombre_afiliado;cliente_id
1;e-services turn-key interface;Secured Togo;Belize;1
2;JBOD;Jewelery Cyprus;Metal Grove Louisiana;2
3;methodology hierarchy;driver Awesome Metal Car;Synergistic Bacon TCP;3
4;Designer;withdrawal;Toys Mall Operative;4
5;Buckinghamshire generate;Wooden;Balboa US Dollar Buckinghamshire;5
6;brand orchid calculating;Product Aruban Guilder;cultivate synthesizing;6
7;Diverse Grocery Ports;International;Underpass transmitting THX;7
8;overriding Eritrea Kids;Games Handmade;Horizontal Steel Fantastic Cotton Sausages;8
9;Towels haptic;ability panel;Buckinghamshire;9
10;Concrete array e-commerce;online JBOD;Small;10
